Date,Year,RiverName,Temperature,SpecificConductivity,pH,DOmg,DOSaturation,Turbidity
3/5/20,2020,Winnicut River,4.22,0.55,7.11,12.79,98.27,0.13
3/9/20,2020,Winnicut River,4.14,0.57,7.11,12.51,95.93,0.17
3/10/20,2020,Winnicut River,6.42,0.55,7.07,11.77,95.70,0.53
3/11/20,2020,Winnicut River,7.22,0.55,7.13,11.42,94.67,0.83
3/12/20,2020,Winnicut River,6.20,0.56,7.18,11.81,95.60,0.83
3/16/20,2020,Winnicut River,4.28,0.57,7.10,12.20,93.97,0.33
3/17/20,2020,Winnicut River,3.58,0.57,7.21,12.82,96.93,0.47
3/18/20,2020,Winnicut River,4.08,0.58,7.27,12.95,99.20,0.33
3/19/20,2020,Winnicut River,5.64,0.56,7.25,12.16,96.97,1.53
3/23/20,2020,Winnicut River,3.96,0.56,7.20,12.30,93.90,0.13
3/24/20,2020,Winnicut River,0.50,0.55,7.05,13.23,91.93,2.20
3/25/20,2020,Winnicut River,1.84,0.46,6.79,12.87,92.73,1.03
3/26/20,2020,Winnicut River,3.55,0.46,6.85,12.45,94.00,0.63
3/30/20,2020,Winnicut River,5.37,0.41,6.85,11.94,94.50,1.67
3/31/20,2020,Winnicut River,6.50,0.49,7.13,12.45,101.37,1.07
4/1/20,2020,Winnicut River,5.47,0.51,7.22,12.46,98.90,0.37
4/2/20,2020,Winnicut River,6.10,0.53,7.16,11.64,93.90,0.30
4/6/20,2020,Winnicut River,8.56,0.46,6.91,9.96,85.30,0.67
4/7/20,2020,Winnicut River,8.71,0.41,6.97,10.20,87.70,0.70
4/8/20,2020,Winnicut River,9.53,0.51,6.99,9.97,87.53,0.63
4/9/20,2020,Winnicut River,8.86,0.52,7.04,10.28,88.73,1.17
3/16/21,2021,Winnicut River,0.50,0.35,7.33,13.48,93.63,1.57
3/17/21,2021,Winnicut River,1.19,0.36,7.25,13.61,96.37,1.00
3/18/21,2021,Winnicut River,2.92,0.35,7.25,12.76,94.70,0.97
3/19/21,2021,Winnicut River,2.11,0.30,7.25,12.81,92.90,5.03
3/22/21,2021,Winnicut River,5.66,0.34,7.04,12.50,99.73,1.43
3/23/21,2021,Winnicut River,6.85,0.34,7.13,11.84,97.13,1.80
3/24/21,2021,Winnicut River,7.64,0.35,7.05,11.15,93.47,1.27
3/25/21,2021,Winnicut River,8.80,0.35,7.15,11.45,98.63,1.83
3/29/21,2021,Winnicut River,6.15,0.27,6.85,11.05,89.17,5.83
3/30/21,2021,Winnicut River,5.86,0.31,7.06,11.53,92.40,2.70
3/31/21,2021,Winnicut River,8.32,0.34,7.09,11.31,96.33,1.90
4/1/21,2021,Winnicut River,9.72,0.26,7.06,10.25,90.27,7.13
4/5/21,2021,Winnicut River,8.05,0.34,7.15,11.37,96.27,1.57
4/6/21,2021,Winnicut River,8.61,0.35,7.14,12.15,104.20,0.83
4/7/21,2021,Winnicut River,10.17,0.36,7.16,11.86,105.63,1.33
4/8/21,2021,Winnicut River,10.42,0.36,7.23,10.53,94.23,2.53
4/12/21,2021,Winnicut River,11.18,0.40,7.13,10.24,93.33,2.03
4/13/21,2021,Winnicut River,10.14,0.40,7.08,10.54,93.80,2.10
4/14/21,2021,Winnicut River,12.53,0.41,7.15,10.07,94.70,1.57
4/15/21,2021,Winnicut River,12.69,0.41,6.98,9.84,92.90,2.80
3/8/22,2022,Winnicut River,0.39,0.26,7.09,12.93,89.50,3.23
3/9/22,2022,Winnicut River,0.07,0.30,6.87,13.26,90.83,2.57
3/10/22,2022,Winnicut River,0.26,0.32,7.10,13.34,92.03,1.33
3/11/22,2022,Winnicut River,0.97,0.33,6.90,13.09,92.13,1.33
3/14/22,2022,Winnicut River,0.62,0.33,6.88,13.34,92.87,1.77
3/15/22,2022,Winnicut River,2.51,0.34,6.75,12.69,93.10,1.13
3/16/22,2022,Winnicut River,3.89,0.34,6.79,12.18,92.70,1.93
3/17/22,2022,Winnicut River,4.33,0.33,6.77,11.99,92.37,3.13
3/22/22,2022,Winnicut River,5.93,0.32,6.84,11.42,91.63,2.37
3/23/22,2022,Winnicut River,5.66,0.33,7.32,12.07,96.23,2.00
3/24/22,2022,Winnicut River,4.80,0.34,6.98,11.60,94.00,2.00
3/25/22,2022,Winnicut River,7.56,0.30,7.23,11.56,96.67,6.40
3/28/22,2022,Winnicut River,5.34,0.33,7.38,12.18,96.30,1.33
3/29/22,2022,Winnicut River,1.74,0.35,7.80,12.50,89.83,1.00
3/30/22,2022,Winnicut River,2.18,0.33,8.01,12.48,90.77,0.93
3/31/22,2022,Winnicut River,5.30,0.34,7.49,11.63,91.90,3.07
4/5/22,2022,Winnicut River,8.75,0.38,8.08,10.90,93.87,4.23
4/6/22,2022,Winnicut River,8.94,0.38,7.98,10.93,94.53,1.90
4/7/22,2022,Winnicut River,8.31,0.38,8.02,11.36,96.83,1.23
4/11/22,2022,Winnicut River,10.88,0.32,7.75,11.56,104.63,1.17
4/12/22,2022,Winnicut River,12.38,0.34,7.85,10.82,101.37,2.33
4/13/22,2022,Winnicut River,11.57,0.33,7.93,10.76,99.00,0.80
4/14/22,2022,Winnicut River,10.66,0.34,7.86,9.78,88.10,2.43
2/13/23,2023,Winnicut River,1.65,0.40,6.61,13.17,94.37,2.50
2/15/23,2023,Winnicut River,1.76,0.40,6.82,13.08,94.10,2.60
2/16/23,2023,Winnicut River,3.33,0.39,6.58,12.80,96.00,2.73
2/21/23,2023,Winnicut River,2.93,0.39,6.48,12.46,92.50,3.10
2/22/23,2023,Winnicut River,2.59,0.38,6.56,12.94,94.50,3.27
2/23/23,2023,Winnicut River,0.98,0.38,6.51,13.03,91.60,3.10
2/24/23,2023,Winnicut River,0.55,0.39,6.39,13.52,94.03,2.53
3/8/23,2023,Winnicut River,0.29,0.38,6.57,13.21,91.17,2.23
3/9/23,2023,Winnicut River,1.24,0.38,6.45,13.03,92.40,3.07
3/10/23,2023,Winnicut River,1.86,0.39,6.50,13.09,94.40,2.57
3/15/23,2023,Winnicut River,0.26,0.26,5.99,12.86,88.63,5.40
3/16/23,2023,Winnicut River,1.67,0.29,6.39,12.76,91.60,3.03
3/17/23,2023,Winnicut River,3.31,0.31,6.56,12.77,95.70,2.37
3/18/23,2023,Winnicut River,5.91,0.33,6.42,12.37,99.20,2.27
3/20/23,2023,Winnicut River,2.05,0.38,6.46,12.38,89.80,2.13
3/21/23,2023,Winnicut River,3.33,0.39,6.53,12.18,91.40,2.90
3/22/23,2023,Winnicut River,5.19,0.39,6.58,11.88,93.60,2.23
3/23/23,2023,Winnicut River,7.18,0.32,6.59,11.19,92.67,2.50
3/27/23,2023,Winnicut River,6.94,0.39,6.81,12.30,101.27,2.43
3/28/23,2023,Winnicut River,7.46,0.39,6.81,12.06,100.63,2.70
3/29/23,2023,Winnicut River,6.13,0.40,6.86,12.39,99.97,2.73
3/30/23,2023,Winnicut River,6.83,0.41,6.92,12.47,102.40,2.83
3/31/23,2023,Winnicut River,5.47,0.42,6.98,12.82,101.70,2.73
4/3/23,2023,Winnicut River,5.09,0.36,6.71,11.50,90.33,3.03
4/4/23,2023,Winnicut River,7.79,0.38,6.74,10.99,92.43,2.53
4/5/23,2023,Winnicut River,9.08,0.39,6.81,10.88,94.40,2.47
4/6/23,2023,Winnicut River,6.97,0.40,6.96,11.57,95.37,2.40
4/10/23,2023,Winnicut River,7.84,0.45,6.93,11.57,97.40,2.40
4/11/23,2023,Winnicut River,10.64,0.46,7.03,11.64,104.87,2.30
4/12/23,2023,Winnicut River,12.36,0.46,7.10,11.19,104.77,2.33
4/13/23,2023,Winnicut River,14.59,0.47,7.05,10.80,106.37,2.53
4/17/23,2023,Winnicut River,13.06,0.47,6.98,9.50,90.40,3.20
4/18/23,2023,Winnicut River,11.04,0.45,6.95,9.62,87.40,3.27
4/19/23,2023,Winnicut River,11.31,0.46,7.02,9.98,91.23,2.57
4/20/23,2023,Winnicut River,10.50,0.46,7.15,10.57,94.80,2.13
3/22/19,2019,Squamscott River,0.78,0.55,6.71,14.76,103.40,0.60
3/25/19,2019,Squamscott River,3.23,0.52,6.84,14.06,105.23,0.23
3/26/19,2019,Squamscott River,3.14,0.52,6.65,14.32,107.00,1.00
3/27/19,2019,Squamscott River,3.73,0.52,6.73,14.40,109.23,0.53
3/28/19,2019,Squamscott River,4.58,0.51,6.84,14.17,109.90,1.00
4/2/19,2019,Squamscott River,5.19,0.48,6.68,12.34,97.23,1.70
4/3/19,2019,Squamscott River,6.22,0.47,6.67,11.96,96.70,1.23
4/4/19,2019,Squamscott River,6.15,0.47,6.66,11.78,95.10,1.20
4/5/19,2019,Squamscott River,5.87,0.47,6.52,12.31,98.70,0.67
4/8/19,2019,Squamscott River,8.99,0.48,6.86,11.19,96.90,2.17
4/9/19,2019,Squamscott River,7.22,0.49,6.75,11.61,96.30,1.50
4/10/19,2019,Squamscott River,6.29,0.49,6.64,12.00,97.20,1.97
4/11/19,2019,Squamscott River,6.38,0.49,6.67,12.28,99.77,0.93
4/15/19,2019,Squamscott River,11.70,0.47,6.69,10.38,95.73,5.60
4/16/19,2019,Squamscott River,11.32,0.46,6.73,10.83,99.10,3.27
4/17/19,2019,Squamscott River,9.52,0.46,6.74,11.06,97.03,3.37
4/18/19,2019,Squamscott River,10.05,0.45,6.67,10.97,97.50,2.20
3/3/20,2020,Squamscott River,2.07,0.41,6.43,13.66,99.13,0.47
3/4/20,2020,Squamscott River,3.61,0.40,6.68,12.31,97.87,0.33
3/5/20,2020,Squamscott River,4.24,0.39,6.65,13.09,100.57,0.23
3/6/20,2020,Squamscott River,3.80,0.39,6.73,12.95,98.27,0.40
3/9/20,2020,Squamscott River,3.05,0.39,6.61,13.03,97.00,0.17
3/10/20,2020,Squamscott River,4.72,0.38,6.74,12.76,99.37,0.13
3/11/20,2020,Squamscott River,6.01,0.38,6.69,12.20,98.07,0.30
3/12/20,2020,Squamscott River,5.94,0.38,6.80,12.43,99.83,0.13
3/16/20,2020,Squamscott River,5.49,0.38,6.77,12.69,100.73,0.47
3/17/20,2020,Squamscott River,4.45,0.38,6.74,12.66,97.83,1.07
3/18/20,2020,Squamscott River,5.16,0.38,6.93,12.96,102.00,0.23
3/19/20,2020,Squamscott River,5.10,0.38,6.79,12.77,100.33,0.67
3/23/20,2020,Squamscott River,4.77,0.39,6.83,12.57,98.00,0.23
3/24/20,2020,Squamscott River,2.58,0.41,6.65,13.03,95.83,0.10
3/25/20,2020,Squamscott River,2.54,0.38,6.59,13.21,97.03,2.13
3/26/20,2020,Squamscott River,3.24,0.37,6.70,13.09,98.03,0.23
3/30/20,2020,Squamscott River,6.56,0.35,6.68,11.99,97.80,0.87
3/31/20,2020,Squamscott River,6.78,0.37,6.79,12.39,101.60,1.13
4/1/20,2020,Squamscott River,6.55,0.37,6.81,12.07,98.37,0.47
4/2/20,2020,Squamscott River,6.95,0.37,6.83,12.08,99.40,0.53
4/6/20,2020,Squamscott River,8.73,0.34,6.46,11.28,96.97,1.87
4/7/20,2020,Squamscott River,9.27,0.35,6.58,11.17,97.27,0.80
4/8/20,2020,Squamscott River,9.78,0.36,6.59,10.88,95.97,0.97
4/9/20,2020,Squamscott River,9.59,0.36,6.69,11.00,96.57,0.50
3/16/21,2021,Squamscott River,0.61,0.18,6.88,13.74,95.70,0.93
3/17/21,2021,Squamscott River,1.54,0.19,6.80,13.82,98.77,1.30
3/18/21,2021,Squamscott River,2.14,0.19,6.95,13.58,98.63,0.80
3/19/21,2021,Squamscott River,3.31,0.20,6.83,13.21,98.97,3.53
3/22/21,2021,Squamscott River,5.88,0.19,6.85,12.55,100.60,1.03
3/23/21,2021,Squamscott River,7.12,0.19,6.85,12.35,102.17,2.07
3/24/21,2021,Squamscott River,7.70,0.19,6.82,12.12,101.67,1.20
3/25/21,2021,Squamscott River,8.58,0.19,6.85,11.73,100.47,2.30
3/29/21,2021,Squamscott River,8.18,0.20,7.14,11.08,94.03,4.77
3/30/21,2021,Squamscott River,7.09,0.19,7.03,11.77,97.30,3.10
3/31/21,2021,Squamscott River,8.60,0.19,6.94,11.55,99.03,3.53
4/1/21,2021,Squamscott River,9.86,0.18,6.93,10.92,96.40,3.83
4/5/21,2021,Squamscott River,7.80,0.20,6.82,11.74,98.70,0.80
4/6/21,2021,Squamscott River,9.45,0.20,6.86,12.08,105.67,0.77
4/7/21,2021,Squamscott River,9.50,0.20,6.94,11.53,101.03,0.80
4/8/21,2021,Squamscott River,9.65,0.20,7.21,11.15,98.00,1.53
4/12/21,2021,Squamscott River,12.37,0.22,7.01,10.48,98.13,1.67
4/13/21,2021,Squamscott River,11.46,0.22,6.98,10.76,98.70,0.67
4/14/21,2021,Squamscott River,12.46,0.22,7.08,10.77,101.07,1.37
4/15/21,2021,Squamscott River,12.54,0.22,6.93,10.62,99.80,1.20
3/14/22,2022,Squamscott River,1.93,0.17,6.70,13.79,99.53,1.90
3/15/22,2022,Squamscott River,1.04,0.17,6.58,13.71,96.60,0.60
3/16/22,2022,Squamscott River,2.23,0.17,6.65,13.31,96.83,0.83
3/17/22,2022,Squamscott River,3.25,0.17,6.58,12.92,96.67,0.60
3/22/22,2022,Squamscott River,6.23,0.16,6.62,11.89,96.10,1.73
3/23/22,2022,Squamscott River,6.23,0.16,7.02,12.15,98.20,0.60
3/24/22,2022,Squamscott River,6.22,0.17,6.75,12.00,96.90,1.10
3/25/22,2022,Squamscott River,6.69,0.17,7.16,11.88,97.17,4.17
3/28/22,2022,Squamscott River,6.56,0.17,7.07,11.96,97.47,0.53
3/29/22,2022,Squamscott River,3.93,0.17,7.55,12.40,94.57,0.80
3/30/22,2022,Squamscott River,3.13,0.18,7.65,12.83,95.70,1.73
3/31/22,2022,Squamscott River,4.40,0.18,7.00,12.50,96.47,0.90
4/5/22,2022,Squamscott River,8.37,0.19,7.80,11.52,98.23,1.83
4/6/22,2022,Squamscott River,8.96,0.19,7.59,11.31,97.83,0.67
4/7/22,2022,Squamscott River,8.83,0.19,7.52,11.45,98.73,0.20
4/11/22,2022,Squamscott River,10.39,0.16,7.32,11.33,101.37,1.70
4/12/22,2022,Squamscott River,11.41,0.16,7.47,10.94,100.20,2.07
4/13/22,2022,Squamscott River,11.44,0.16,7.57,10.87,99.60,0.53
4/14/22,2022,Squamscott River,10.78,0.17,7.46,10.59,95.60,1.23
3/20/23,2023,Squamscott River,2.65,0.18,6.00,13.11,96.53,3.10
3/21/23,2023,Squamscott River,3.10,0.19,6.07,13.15,97.97,2.43
3/22/23,2023,Squamscott River,4.29,0.20,6.09,12.93,99.47,2.57
3/23/23,2023,Squamscott River,6.07,0.20,6.10,12.25,98.63,2.03
3/27/23,2023,Squamscott River,6.26,0.20,6.20,12.42,100.40,1.90
3/28/23,2023,Squamscott River,7.06,0.19,6.26,12.09,99.77,2.40
3/29/23,2023,Squamscott River,7.49,0.19,6.33,12.22,101.93,3.70
3/30/23,2023,Squamscott River,7.47,0.19,6.40,12.20,101.70,1.73
4/3/23,2023,Squamscott River,6.04,0.19,6.23,12.03,96.80,2.87
4/4/23,2023,Squamscott River,7.46,0.19,6.21,11.78,98.20,2.07
4/5/23,2023,Squamscott River,8.51,0.19,6.24,11.62,99.43,1.83
4/6/23,2023,Squamscott River,8.02,0.19,6.30,11.74,99.30,1.53
4/10/23,2023,Squamscott River,8.19,0.21,6.58,11.94,101.30,1.30
4/11/23,2023,Squamscott River,9.82,0.21,6.43,11.51,101.60,1.27
4/12/23,2023,Squamscott River,11.36,0.22,6.53,11.05,101.10,1.23
4/13/23,2023,Squamscott River,13.63,0.22,6.53,10.67,102.73,1.57
4/17/23,2023,Squamscott River,14.83,0.24,6.49,9.69,95.80,1.97
4/18/23,2023,Squamscott River,13.33,0.24,6.52,9.94,95.20,2.00
4/19/23,2023,Squamscott River,12.61,0.25,6.65,10.35,97.43,1.87
4/20/23,2023,Squamscott River,11.51,0.25,6.67,10.87,99.80,1.77
3/19/19,2019,Oyster River,0.30,0.61,6.81,15.27,105.77,4.83
3/22/19,2019,Oyster River,1.21,0.63,7.03,14.71,104.27,3.37
3/25/19,2019,Oyster River,2.31,0.57,7.04,14.45,105.53,2.00
3/26/19,2019,Oyster River,2.45,0.58,6.99,14.93,109.47,2.73
3/27/19,2019,Oyster River,2.70,0.58,7.20,15.08,111.30,2.77
3/28/19,2019,Oyster River,3.33,0.60,7.23,15.11,113.40,2.43
4/2/19,2019,Oyster River,3.04,0.52,6.64,13.12,97.67,4.43
4/3/19,2019,Oyster River,4.01,0.52,6.84,12.61,96.37,4.63
4/4/19,2019,Oyster River,4.13,0.52,6.85,12.62,96.80,2.33
4/5/19,2019,Oyster River,4.12,0.51,7.00,12.82,98.20,2.57
4/8/19,2019,Oyster River,6.72,0.55,6.93,12.07,98.90,4.60
4/9/19,2019,Oyster River,4.87,0.54,6.94,12.73,99.47,5.53
4/10/19,2019,Oyster River,4.32,0.56,6.94,13.05,100.53,4.03
4/11/19,2019,Oyster River,4.55,0.54,7.07,13.09,101.43,4.33
4/15/19,2019,Oyster River,9.60,0.51,6.88,11.17,98.23,16.40
4/16/19,2019,Oyster River,9.26,0.50,6.82,11.66,101.67,7.43
4/17/19,2019,Oyster River,7.25,0.49,6.83,11.69,97.03,4.67
4/18/19,2019,Oyster River,8.26,0.49,6.90,11.84,100.77,3.27
3/3/20,2020,Oyster River,0.98,0.46,6.75,13.86,97.57,2.20
3/4/20,2020,Oyster River,2.43,0.45,6.94,13.44,98.47,4.83
3/5/20,2020,Oyster River,2.98,0.42,7.01,13.46,100.07,4.97
3/6/20,2020,Oyster River,2.68,0.43,6.93,13.32,98.20,2.93
3/9/20,2020,Oyster River,1.80,0.45,6.92,13.49,97.20,1.77
3/10/20,2020,Oyster River,3.10,0.44,6.96,13.27,99.00,3.33
3/11/20,2020,Oyster River,4.15,0.43,6.98,12.95,99.23,2.00
3/12/20,2020,Oyster River,4.19,0.45,7.00,13.10,100.60,3.27
3/16/20,2020,Oyster River,4.32,0.43,7.01,13.38,103.03,1.90
3/17/20,2020,Oyster River,3.40,0.45,7.09,13.24,99.60,1.37
3/18/20,2020,Oyster River,4.47,0.47,7.13,13.46,104.20,1.47
3/19/20,2020,Oyster River,3.95,0.46,7.10,13.07,99.73,3.57
3/23/20,2020,Oyster River,3.96,0.43,7.11,13.01,99.30,0.37
3/24/20,2020,Oyster River,2.35,0.47,7.08,13.29,97.23,0.97
3/25/20,2020,Oyster River,2.34,0.42,6.71,13.31,97.30,9.23
3/26/20,2020,Oyster River,2.99,0.42,6.78,13.22,98.30,3.07
3/30/20,2020,Oyster River,5.37,0.41,6.87,12.54,99.33,17.40
3/31/20,2020,Oyster River,5.45,0.39,6.91,12.70,100.70,4.43
4/1/20,2020,Oyster River,5.59,0.39,7.02,12.49,99.40,1.20
4/2/20,2020,Oyster River,6.01,0.41,7.04,12.28,98.83,0.93
4/6/20,2020,Oyster River,8.22,0.38,6.85,11.53,97.90,1.43
4/7/20,2020,Oyster River,8.28,0.39,6.92,11.48,97.73,0.80
4/8/20,2020,Oyster River,8.78,0.40,7.02,11.30,97.40,1.10
4/9/20,2020,Oyster River,8.93,0.42,7.20,11.30,97.63,1.03
3/16/21,2021,Oyster River,1.28,0.23,7.77,13.93,98.80,1.67
3/17/21,2021,Oyster River,1.44,0.34,7.65,14.09,100.63,3.37
3/18/21,2021,Oyster River,1.87,0.31,7.69,13.91,100.73,3.83
3/19/21,2021,Oyster River,2.15,0.28,7.33,13.78,100.23,6.53
3/22/21,2021,Oyster River,4.48,0.32,7.13,13.52,104.67,4.77
3/23/21,2021,Oyster River,5.44,0.32,7.47,13.34,106.07,5.80
3/24/21,2021,Oyster River,5.77,0.24,7.36,13.21,105.67,5.00
3/25/21,2021,Oyster River,7.60,0.25,7.00,13.36,106.43,13.77
3/29/21,2021,Oyster River,6.13,0.23,6.84,12.03,97.13,18.27
3/30/21,2021,Oyster River,5.51,0.23,6.84,12.49,99.17,9.10
3/31/21,2021,Oyster River,6.89,0.24,6.82,12.26,100.87,5.13
4/1/21,2021,Oyster River,8.35,0.27,6.76,11.52,98.17,6.50
4/5/21,2021,Oyster River,6.85,0.27,6.74,12.31,101.13,4.80
4/6/21,2021,Oyster River,8.98,0.30,6.74,12.01,103.70,3.73
4/7/21,2021,Oyster River,9.02,0.28,7.21,12.07,104.67,3.27
4/8/21,2021,Oyster River,9.46,0.31,7.13,10.43,100.40,11.13
4/12/21,2021,Oyster River,11.60,0.33,7.13,10.53,97.43,12.03
4/13/21,2021,Oyster River,11.04,0.34,7.24,11.20,102.07,16.37
4/14/21,2021,Oyster River,11.76,0.38,7.43,9.77,97.83,19.50
4/15/21,2021,Oyster River,12.77,0.41,7.31,9.48,102.07,19.63
3/14/22,2022,Oyster River,1.29,0.24,6.81,14.08,99.80,4.03
3/15/22,2022,Oyster River,0.87,0.23,6.82,13.82,96.87,2.87
3/16/22,2022,Oyster River,1.61,0.25,6.85,13.53,96.90,2.23
3/17/22,2022,Oyster River,2.41,0.23,6.78,13.37,97.80,2.97
3/22/22,2022,Oyster River,4.59,0.20,6.51,12.81,99.30,3.63
3/23/22,2022,Oyster River,4.50,0.21,7.28,12.96,100.30,3.07
3/24/22,2022,Oyster River,4.80,0.24,7.01,12.72,99.17,2.87
3/25/22,2022,Oyster River,5.05,0.21,7.19,12.68,99.47,9.57
3/28/22,2022,Oyster River,5.32,0.21,7.04,12.62,99.70,3.10
3/29/22,2022,Oyster River,2.96,0.21,7.70,12.84,95.30,2.27
3/30/22,2022,Oyster River,1.95,0.22,8.25,13.34,96.40,2.87
3/31/22,2022,Oyster River,3.47,0.24,7.28,13.04,98.17,2.33
4/5/22,2022,Oyster River,7.52,0.32,8.02,12.37,103.33,3.37
4/6/22,2022,Oyster River,7.96,0.31,8.18,11.89,100.40,5.90
4/7/22,2022,Oyster River,7.98,0.32,8.05,12.33,104.20,3.80
4/11/22,2022,Oyster River,10.12,0.19,7.99,11.63,103.43,4.00
4/12/22,2022,Oyster River,10.69,0.20,8.03,11.43,102.87,3.17
4/13/22,2022,Oyster River,10.59,0.21,7.98,11.32,101.77,3.90
4/14/22,2022,Oyster River,9.75,0.21,7.99,10.98,96.80,3.10
3/15/23,2023,Oyster River,1.02,0.29,6.54,13.77,97.07,13.47
3/20/23,2023,Oyster River,2.12,0.24,6.35,13.51,98.10,4.10
3/21/23,2023,Oyster River,2.29,0.25,6.39,13.60,99.20,3.60
3/22/23,2023,Oyster River,3.68,0.24,6.46,13.33,100.90,3.57
3/23/23,2023,Oyster River,5.18,0.24,6.51,12.70,100.00,3.70
3/27/23,2023,Oyster River,5.16,0.23,6.68,13.03,102.53,4.40
3/28/23,2023,Oyster River,5.92,0.23,6.67,12.74,102.23,3.13
3/29/23,2023,Oyster River,6.36,0.24,6.85,12.82,103.97,2.73
3/30/23,2023,Oyster River,6.31,0.24,6.85,12.87,104.23,3.03
4/3/23,2023,Oyster River,5.29,0.27,6.53,12.49,98.57,4.27
4/4/23,2023,Oyster River,6.60,0.24,6.54,12.14,99.10,3.50
4/5/23,2023,Oyster River,7.67,0.24,6.60,12.09,101.30,3.27
4/6/23,2023,Oyster River,7.08,0.26,6.62,12.08,99.80,3.57
4/10/23,2023,Oyster River,7.14,0.39,6.88,12.70,105.20,6.07
4/11/23,2023,Oyster River,8.99,0.29,6.98,12.27,106.20,5.10
4/12/23,2023,Oyster River,10.66,0.47,7.20,11.87,106.90,8.83
4/13/23,2023,Oyster River,13.57,1.48,7.57,11.05,109.00,8.73
4/17/23,2023,Oyster River,14.03,0.35,6.83,9.96,96.83,3.90
4/18/23,2023,Oyster River,12.51,0.36,6.86,10.14,95.27,6.00
4/19/23,2023,Oyster River,11.84,0.41,6.93,10.59,,8.97
4/20/23,2023,Oyster River,10.68,0.39,7.07,11.39,102.70,19.43
